audio_path_english,translation_english,audio_path_korean,translation_korean,mfcc_features,english_sequence,korean_sequence
english_audio/49.mp3,The flowers are in full bloom.,korean_audio/49.mp3,꽃들이 만발해 있어요.,"[[-591    0    0 ...    0    0    0]
 [-480   75  -13 ...   -4    2    2]
 [-270  138  -20 ...  -14    0    0]
 ...
 [-592    0    0 ...    0    0    0]
 [-592    0    0 ...    0    0    0]
 [-592    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/31.mp3,What's your favorite holiday?,korean_audio/31.mp3,가장 좋아하는 휴일 뭐에요?,"[[-577    0    0 ...    0    0    0]
 [-577    0    0 ...    0    0    0]
 [-525   69   59 ...  -10   -7   -6]
 ...
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/1.mp3,The beach is so relaxing.,korean_audio/1.mp3,해변은 너무 편안해요.,"[[-584    0    0 ...    0    0    0]
 [-584    0    0 ...    0    0    0]
 [-490   55   -7 ...   -2   -1    0]
 ...
 [-584    0    0 ...    0    0    0]
 [-584    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/26.mp3,I have a doctor's appointment.,korean_audio/26.mp3,의사 약속이 있어요.,"[[-635    0    0 ...    0    0    0]
 [-596   46   27 ...   -6   -3   -1]
 [-314  187  -51 ...    7  -10  -15]
 ...
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/7.mp3,I need a new pair of shoes.,korean_audio/7.mp3,새 신발이 필요해요.,"[[-571    0    0 ...    0    0    0]
 [-535   39   17 ...   -4   -3   -1]
 [-290  164  -47 ...    2  -14   -9]
 ...
 [-571    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/24.mp3,I'm going for a walk.,korean_audio/24.mp3,산책 갈 거에요.,"[[-576    0    0 ...    0    0    0]
 [-545   35   19 ...   -5   -5   -4]
 [-288  162  -45 ...    0   -9   -8]
 ...
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/12.mp3,I like to go hiking in the mountains.,korean_audio/12.mp3,산에 등반하는 걸 좋아해요.,"[[-245  141  -87 ...  -21   14  -44]
 [-335  121  -29 ...  -10    9  -43]
 [-419   96   -7 ...   -7    0  -15]
 ...
 [-622    0    0 ...    0    0    0]
 [-622    0    0 ...    0    0    0]
 [-622    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/6.mp3,"Can I have some water, please?",korean_audio/6.mp3,물 좀 주세요.,"[[-456   52  -16 ...   15   -8   10]
 [-297   66  -35 ...    5    1   11]
 [-256   78  -26 ...    0    4    4]
 ...
 [-621    0    0 ...    0    0    0]
 [-621    0    0 ...    0    0    0]
 [-621    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/32.mp3,The cake tastes delicious.,korean_audio/32.mp3,케이크 맛이 너무 맛있어요.,"[[-598    0    0 ...    0    0    0]
 [-597    0    0 ...    0    0    0]
 [-497   70   -5 ...   -3   -1    2]
 ...
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]
 [   0    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
english_audio/27.mp3,Where can I find a good restaurant?,korean_audio/27.mp3,좋은 식당 어디서 찾을 수 있어요?,"[[-451  151  100 ...  -11   -4   -1]
 [-418  180   97 ...  -13   -2    0]
 [-363  193   41 ...  -19   -8   -8]
 ...
 [-573    0    0 ...    0    0    0]
 [-573    0    0 ...    0    0    0]
 [-573    0    0 ...    0    0    0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
